Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
0fbead13-a201-412a-b362-ccd28ed3e157,2024-03-06 20:36:42,Cycling,,25.84,1:17:21,3:00,20.04,651.0,253,,"","",2024-03-06-203642.gpx
ee60c5f7-5e47-4b98-9cdf-fbb1a77edcc5,2024-03-04 21:10:32,Cycling,,26.20,1:13:10,2:48,21.48,660.0,264,,"","",2024-03-04-211032.gpx
90043292-3a12-484b-aa22-b76e7c8f44c7,2024-03-03 20:54:41,Running,,2.43,14:34,6:00,9.99,217.0,65,,"","",2024-03-03-205441.gpx
35937597-ded1-430a-83e6-9448f0aba657,2024-02-28 18:16:39,Cycling,,25.74,1:21:21,3:10,18.99,692.0,255,,"","",2024-02-28-181639.gpx
2ee05ad5-bb6e-4c97-a391-10320ab075c4,2024-02-26 20:17:20,Cycling,,33.02,1:41:46,3:05,19.46,911.0,337,,"","",2024-02-26-201720.gpx
c43671f3-4629-4530-8240-26a66bcd5e7b,2024-02-16 19:44:06,Cycling,,32.37,1:48:43,3:22,17.86,913.0,352,,"","",2024-02-16-194406.gpx
1b7b4d1e-4269-4587-aa62-86fdc3aa7d97,2024-02-06 19:59:25,Cycling,,32.36,1:58:23,3:40,16.40,983.0,455,,"","",2024-02-06-195925.gpx
655b95e0-94bf-4c1f-a280-6007e9290d33,2024-01-07 20:09:14,Running,,21.26,2:12:46,6:15,9.61,1687.0,312,,"","",2024-01-07-200914.gpx
ae18cf67-5319-449f-b1e2-b401d1ac5d36,2024-01-04 22:27:50,Running,,3.35,18:03,5:23,11.14,311.0,141,,"","",2024-01-04-222750.gpx
6e97aa75-29c3-4bac-a676-4d9f25032cad,2024-01-03 22:08:51,Running,,3.04,18:07,5:58,10.04,262.0,66,,"","",2024-01-03-220851.gpx
90de1bad-822b-4080-b585-b0bd22e9d1f7,2023-12-10 23:03:13,Running,,1.52,7:34,4:59,12.06,133.0,38,,"","",2023-12-10-230313.gpx
33d729f9-bcaa-47e6-9ab0-f1f90b13437d,2023-12-07 22:03:00,Running,,3.01,14:17,4:44,12.65,266.0,85,,"","",2023-12-07-220300.gpx
4a86290f-77e5-4ffa-ad84-c3122aadb16d,2023-12-04 22:29:11,Running,,1.53,7:32,4:57,12.12,139.0,47,,"","",2023-12-04-222911.gpx
ae0ac6f1-57c1-4c48-8579-efb2c5870aa9,2023-12-01 20:29:46,Running,,1.52,7:06,4:41,12.81,138.0,46,,"","",2023-12-01-202946.gpx
b0a420ee-101b-4e8a-a130-299f2c98a9d7,2023-12-01 20:18:14,Running,,1.53,7:10,4:43,12.74,136.0,40,,"","",2023-12-01-201814.gpx
5211ebb5-149e-4524-bd5c-9edcbddb7873,2023-11-29 21:35:09,Cycling,,6.59,30:01,4:33,13.16,206.0,183,,"","",2023-11-29-213509.gpx
03302ca1-48aa-4607-b8e3-8f9f7bca2f35,2023-11-28 22:07:57,Running,,3.01,18:00,5:58,10.05,259.0,76,,"","",2023-11-28-220757.gpx
a6ccce7a-443f-4d53-af63-5292fc9d1866,2023-11-25 22:24:02,Running,,3.01,16:57,5:38,10.64,273.0,81,,"","",2023-11-25-222402.gpx
b701fd18-25bb-4f4f-b81f-74fa5713803e,2023-11-22 22:33:13,Running,,3.02,15:50,5:15,11.45,276.0,91,,"","",2023-11-22-223313.gpx
ae1b9a67-ebe2-47a9-8cdb-95bb231cc147,2023-11-18 22:16:58,Running,,3.01,16:25,5:28,10.98,273.0,86,,"","",2023-11-18-221658.gpx
580e0ff9-506e-4903-8e48-4b403473c770,2023-11-16 22:22:32,Running,,3.01,17:51,5:56,10.11,273.0,85,,"","",2023-11-16-222232.gpx
4989fee1-99e3-4dac-9fbe-d01d87f84550,2023-11-15 22:25:33,Running,,3.02,16:26,5:26,11.03,269.0,74,,"","",2023-11-15-222533.gpx
4ec45aca-948e-4810-82c0-041e7eb8e941,2023-11-14 22:18:48,Running,,4.01,23:50,5:56,10.10,365.0,113,,"","",2023-11-14-221848.gpx
afa0c204-6017-41f2-af56-dea37651e454,2023-11-03 22:17:42,Running,,2.09,12:25,5:56,10.10,189.0,56,,"","",2023-11-03-221742.gpx
3c431953-a830-4da1-a5a4-589d5e2426cf,2023-10-22 22:28:51,Running,,0.25,1:16,5:12,11.53,23.0,9,,"","",2023-10-22-222851.gpx
c7b37fe5-2188-43d1-8687-be4568772e84,2023-10-21 21:01:02,Cycling,,7.20,27:55,3:53,15.47,200.0,201,,"","",2023-10-21-210102.gpx
6d2316ea-e162-4b49-a1d9-cb2b765bc420,2023-10-19 23:56:12,Cycling,,5.06,18:46,3:43,16.17,142.0,142,,"","",2023-10-19-235612.gpx
5471f260-6089-4f38-bbdb-bf679a68bbe4,2023-10-17 22:41:44,Running,,0.37,1:50,5:04,11.85,26.0,5,,"","",2023-10-17-224144.gpx
6c0b052d-2768-4fbe-a917-b5bd250f8f56,2023-10-16 22:20:19,Running,,1.38,8:24,6:04,9.89,123.0,38,,"","",2023-10-16-222019.gpx
7b577df2-a0eb-4826-80ab-c04dc29e3cd4,2023-10-12 22:00:52,Running,,2.01,11:43,5:49,10.31,181.0,55,,"","왼쪽 종아리 부상",2023-10-12-220052.gpx
bebd7656-fbdf-4a2b-8039-07bfa4f1232e,2023-10-11 22:07:05,Running,,3.02,16:35,5:29,10.94,275.0,84,,"","",2023-10-11-220705.gpx
8fe124c2-d7c9-43ec-a7db-44e3abab5f32,2023-10-09 21:46:36,Running,,3.03,18:09,6:00,10.00,276.0,89,,"","",2023-10-09-214636.gpx
47fbcbcf-1806-45eb-ab9e-80d9a4c80d87,2023-10-08 21:44:23,Running,,5.02,29:28,5:53,10.21,454.0,146,,"","",2023-10-08-214423.gpx
